plan_id,user_segment,agent_version,total_revenue,net_profit,profit_margin,aesthetic_score,logic_score,is_converted,created_at
4c50a2da,price_sensitive,v3-profit-seeker-p2-patched,15853.0,3256.76,0.2054,8.24,8.25,False,2026-01-07 16:44:06
0f9f986d,price_sensitive,v3-profit-seeker-p2-patched,12566.0,3466.9,0.2759,6.66,9.94,False,2026-02-07 08:18:11
15edf21b,price_sensitive,v3-profit-seeker-p2-patched,4059.0,991.49,0.2443,4.57,8.92,False,2026-02-07 01:09:45
78272b22,price_sensitive,v3-profit-seeker-p2-patched,3603.0,1026.94,0.285,6.24,9.49,False,2026-01-22 05:45:30
e502f7aa,price_sensitive,v2-aesthetic-first,17044.0,1593.68,0.0935,8.95,9.51,True,2026-01-24 08:19:03
9abbf021,standard,v3-profit-seeker-p2-patched,19806.0,4472.27,0.2258,7.61,9.6,True,2026-01-11 01:16:25
0e572956,high_net_worth,v2-aesthetic-first,15351.0,1143.82,0.0745,8.37,8.49,False,2026-02-02 05:10:21
bea03289,standard,v3-profit-seeker-p2-patched,17449.0,3835.34,0.2198,8.45,9.23,True,2026-01-18 10:30:50
fb4f3be7,high_net_worth,v2-aesthetic-first,12046.5,1067.84,0.0886,9.59,8.27,True,2026-01-07 14:22:59
0807d360,price_sensitive,v3-profit-seeker-p2-patched,5827.0,1358.84,0.2332,7.43,9.16,False,2026-02-06 07:44:42
d980554c,high_net_worth,v3-profit-seeker-p2-patched,22987.5,4895.53,0.213,5.8,9.05,False,2026-02-05 09:18:43
1a03f57d,standard,v2-aesthetic-first,16469.0,1386.58,0.0842,9.74,8.69,True,2026-01-28 17:25:02
dac5db69,standard,v1-balanced,18712.0,3101.97,0.1658,9.19,8.38,False,2026-01-02 22:37:08
50dca4e1,standard,v2-aesthetic-first,18752.0,1095.89,0.0584,9.03,9.77,True,2026-01-28 18:39:39
7d99674f,standard,v1-balanced,4371.0,875.76,0.2004,6.5,9.6,True,2026-02-07 12:16:09
03fd0d94,price_sensitive,v3-profit-seeker-p2-patched,5612.0,1640.46,0.2923,6.31,8.14,False,2026-01-09 22:15:08
476300d9,price_sensitive,v3-profit-seeker-p2-patched,12895.0,3263.69,0.2531,6.68,6.83,False,2026-01-09 11:21:39
e72be49b,price_sensitive,v3-profit-seeker-p2-patched,7773.0,1647.52,0.212,6.84,9.25,False,2026-01-03 16:48:29
