plan_id,user_segment,agent_version,total_revenue,net_profit,profit_margin,aesthetic_score,logic_score,is_converted,created_at
564679ec,price_sensitive,v3-profit-seeker-p3-tiered,15580.0,3331.58,0.2138,7.41,7.84,True,2026-02-04 22:13:43
9621814e,high_net_worth,v2-aesthetic-first,12949.5,647.48,0.05,9.52,8.42,False,2026-01-24 16:55:01
a1baafb7,high_net_worth,v2-aesthetic-first,24607.5,1867.36,0.0759,8.74,6.92,False,2026-01-20 10:49:39
14c1973c,high_net_worth,v1-balanced,4770.0,1117.54,0.2343,7.21,7.3,False,2026-02-01 23:28:21
ea181299,standard,v2-aesthetic-first,8482.0,424.1,0.05,8.9,6.17,True,2026-01-12 15:49:19
1957a7cc,high_net_worth,v2-aesthetic-first,29893.5,2021.88,0.0676,8.65,9.86,False,2026-01-02 21:57:11
cadcc176,high_net_worth,v2-aesthetic-first,13287.0,911.29,0.0686,8.53,7.43,True,2026-01-02 06:16:18
2deaafe0,price_sensitive,v3-profit-seeker-p3-tiered,8528.0,1847.35,0.2166,5.54,8.47,False,2026-01-12 18:11:48
db7eb028,price_sensitive,v3-profit-seeker-p3-tiered,17821.0,4424.39,0.2483,7.05,9.11,False,2026-01-30 22:14:36
b083706f,standard,v2-aesthetic-first,3548.0,291.93,0.0823,8.37,7.05,True,2026-01-02 02:14:12
159926d3,price_sensitive,v3-profit-seeker-p3-tiered,15818.0,3193.28,0.2019,6.8,8.74,False,2026-01-30 06:43:09
6f1c27b3,high_net_worth,v1-balanced,5748.0,1356.1,0.2359,7.42,8.73,False,2026-01-13 22:20:58
62c063e4,standard,v2-aesthetic-first,14820.0,1428.88,0.0964,7.76,9.02,False,2026-02-03 11:01:06
8ba0a0c9,price_sensitive,v3-profit-seeker-p3-tiered,6561.0,1308.42,0.1994,10.0,5.36,True,2026-02-08 02:59:03
fc371601,high_net_worth,v1-balanced,16060.5,3405.68,0.2121,5.83,9.49,False,2026-02-10 07:59:53
c4efaebb,standard,v2-aesthetic-first,19835.0,1365.09,0.0688,9.27,6.98,False,2026-01-07 01:49:46
c3244f9e,high_net_worth,v2-aesthetic-first,10105.5,505.28,0.05,9.69,9.48,False,2026-01-25 08:25:13
1eca2f9b,price_sensitive,v3-profit-seeker-p3-tiered,8006.0,2136.46,0.2669,7.04,8.51,False,2026-02-03 21:53:46
8c211af7,price_sensitive,v3-profit-seeker-p3-tiered,3230.0,784.01,0.2427,7.29,9.45,False,2026-01-20 10:25:38
58851cfe,standard,v1-balanced,9287.0,2415.48,0.2601,7.87,8.65,False,2026-01-11 05:29:50
7d26f033,standard,v3-profit-seeker-p3-tiered,18351.0,3999.25,0.2179,6.39,7.55,True,2026-01-25 10:18:24
a47cceb6,price_sensitive,v1-balanced,17202.0,3400.58,0.1977,7.15,7.54,True,2026-01-24 09:08:28
3dc7b640,price_sensitive,v3-profit-seeker-p3-tiered,15585.0,3803.44,0.244,5.77,8.84,False,2026-01-01 01:57:32
c39593ea,standard,v1-balanced,6989.0,691.39,0.0989,8.63,9.03,True,2026-01-13 05:59:34
828919c1,price_sensitive,v3-profit-seeker-p3-tiered,8459.0,1830.05,0.2163,6.32,9.34,False,2026-01-06 01:33:01
d228290d,standard,v3-profit-seeker-p3-tiered,10781.0,2419.31,0.2244,7.89,7.91,False,2026-01-20 11:59:12
160a7fb7,price_sensitive,v2-aesthetic-first,15556.0,848.06,0.0545,8.85,9.51,True,2026-01-15 04:00:27
753b6b0d,high_net_worth,v2-aesthetic-first,18867.0,2148.45,0.1139,7.94,8.61,True,2026-01-26 18:02:56
